dest_country,VerwerkingsMethode,amount
Drenthe,vA BEWAREN,6044.3769999999995
Drenthe,vB INZETTEN,45278.58
Drenthe,vC FYSISCH VERWERKEN,11212.03
Drenthe,vG STORTEN,0.62
Flevoland,vA BEWAREN,25263.160999999975
Flevoland,vB INZETTEN,5.254
Flevoland,vC FYSISCH VERWERKEN,30170.280999999988
Flevoland,vG STORTEN,272258.185
Friesland,vA BEWAREN,47066.994999999995
Friesland,vB INZETTEN,3317.627
Friesland,vC FYSISCH VERWERKEN,3943.132
Friesland,vD CHEMISCH VERWERKEN,1834.3799999999999
Friesland,vG STORTEN,1209.86
Gelderland,vA BEWAREN,37243.26600000002
Gelderland,vB INZETTEN,181089.80000000002
Gelderland,vC FYSISCH VERWERKEN,181585.54200000002
Gelderland,vD CHEMISCH VERWERKEN,14818.71
Gelderland,vE BIOLOGISCH VERWERKEN,27.62
Gelderland,vF VERBRANDEN,0.96
Gelderland,vG STORTEN,560762.881
Groningen,vA BEWAREN,5927.186000000001
Groningen,vB INZETTEN,10316.79
Groningen,vC FYSISCH VERWERKEN,32175.646000000004
Groningen,vF VERBRANDEN,15340.792
Limburg,vA BEWAREN,9721.08
Limburg,vB INZETTEN,29664.88
Limburg,vC FYSISCH VERWERKEN,37864.210000000014
Limburg,vD CHEMISCH VERWERKEN,52.58
Noord-Brabant,vA BEWAREN,25887.01599999999
Noord-Brabant,vB INZETTEN,2018.3
Noord-Brabant,vC FYSISCH VERWERKEN,274112.762
Noord-Brabant,vD CHEMISCH VERWERKEN,13039.577999999998
Noord-Brabant,vF VERBRANDEN,222065.82700000002
Noord-Brabant,vG STORTEN,206795.309
Noord-Holland,vA BEWAREN,555695.2380000006
Noord-Holland,vB INZETTEN,11400.72
Noord-Holland,vC FYSISCH VERWERKEN,759351.675000001
Noord-Holland,vD CHEMISCH VERWERKEN,26530.219000000005
Noord-Holland,vE BIOLOGISCH VERWERKEN,7650.36
Noord-Holland,vF VERBRANDEN,0.54
Noord-Holland,vG STORTEN,45004.52999999998
Overijssel,vA BEWAREN,7293.691999999998
Overijssel,vB INZETTEN,18781.76
Overijssel,vC FYSISCH VERWERKEN,31390.461
Utrecht,vA BEWAREN,583969.0240000038
Utrecht,vB INZETTEN,239010.01800000007
Utrecht,vC FYSISCH VERWERKEN,1138689.1259999992
Utrecht,vD CHEMISCH VERWERKEN,904418.6330000005
Utrecht,vE BIOLOGISCH VERWERKEN,2142.49
Utrecht,vF VERBRANDEN,63689.60900000004
Utrecht,vG STORTEN,60424.76
Zeeland,vA BEWAREN,5.543
Zeeland,vC FYSISCH VERWERKEN,2184.8250000000003
Zeeland,vG STORTEN,0.16
Zuid-Holland,vA BEWAREN,221566.04799999978
Zuid-Holland,vB INZETTEN,50074.561000000016
Zuid-Holland,vC FYSISCH VERWERKEN,286113.2159999996
Zuid-Holland,vD CHEMISCH VERWERKEN,2217.0
Zuid-Holland,vF VERBRANDEN,353910.252
Zuid-Holland,vG STORTEN,80813.54000000001
