orig_country,VerwerkingsMethode,amount
Belgium,vA BEWAREN,4726.04
Belgium,vC FYSISCH VERWERKEN,8.44
Belgium,vD CHEMISCH VERWERKEN,3166.934
Denmark,vD CHEMISCH VERWERKEN,23.54
Drenthe,vA BEWAREN,55024.812000000005
Drenthe,vB INZETTEN,13.6
Drenthe,vC FYSISCH VERWERKEN,12784.994
Drenthe,vD CHEMISCH VERWERKEN,13.94
Drenthe,vG STORTEN,561.3
Flevoland,vA BEWAREN,10230.707999999995
Flevoland,vC FYSISCH VERWERKEN,80876.4
Flevoland,vF VERBRANDEN,97.62
Flevoland,vG STORTEN,2364.51
France,vA BEWAREN,23.62
France,vC FYSISCH VERWERKEN,68.46
Friesland,vA BEWAREN,65564.599
Friesland,vC FYSISCH VERWERKEN,83201.84700000001
Friesland,vD CHEMISCH VERWERKEN,1332.92
Friesland,vG STORTEN,854.2800000000001
Gelderland,vA BEWAREN,42802.907
Gelderland,vB INZETTEN,67273.03
Gelderland,vC FYSISCH VERWERKEN,187669.5400000001
Gelderland,vD CHEMISCH VERWERKEN,9324.79
Gelderland,vF VERBRANDEN,133.26
Gelderland,vG STORTEN,3576.8269999999998
Germany,vA BEWAREN,98327.00900000002
Germany,vC FYSISCH VERWERKEN,20303.385000000002
Germany,vD CHEMISCH VERWERKEN,14245.770000000002
Groningen,vA BEWAREN,11954.018999999998
Groningen,vB INZETTEN,124.024
Groningen,vC FYSISCH VERWERKEN,12490.305
Groningen,vG STORTEN,979.3599999999999
Limburg,vA BEWAREN,4773.917
Limburg,vB INZETTEN,2.8
Limburg,vC FYSISCH VERWERKEN,4821.040000000001
Limburg,vD CHEMISCH VERWERKEN,16942.545
Limburg,vG STORTEN,583.3599999999999
Morocco,vA BEWAREN,23.62
Noord-Brabant,vA BEWAREN,75991.70999999999
Noord-Brabant,vB INZETTEN,141889.94
Noord-Brabant,vC FYSISCH VERWERKEN,11016.707
Noord-Brabant,vD CHEMISCH VERWERKEN,9706.0
Noord-Brabant,vG STORTEN,177.88
Noord-Holland,vA BEWAREN,162361.97300000014
Noord-Holland,vB INZETTEN,3308.12
Noord-Holland,vC FYSISCH VERWERKEN,107652.36900000005
Noord-Holland,vD CHEMISCH VERWERKEN,3554.86
Noord-Holland,vF VERBRANDEN,12.66
Noord-Holland,vG STORTEN,10070.82
Overijssel,vA BEWAREN,48521.761999999995
Overijssel,vB INZETTEN,321.18
Overijssel,vC FYSISCH VERWERKEN,93596.60000000005
Overijssel,vD CHEMISCH VERWERKEN,7.42
Overijssel,vG STORTEN,6080.999999999999
Sweden,vA BEWAREN,3335.242
Sweden,vC FYSISCH VERWERKEN,7354.346
United Kingdom,vA BEWAREN,12862.062
United States,vA BEWAREN,10.18
Utrecht,vA BEWAREN,35359.73500000001
Utrecht,vB INZETTEN,34008.707
Utrecht,vC FYSISCH VERWERKEN,124681.79500000001
Utrecht,vD CHEMISCH VERWERKEN,488.42
Utrecht,vE BIOLOGISCH VERWERKEN,3944.78
Utrecht,vF VERBRANDEN,267.22
Utrecht,vG STORTEN,3728.2349999999983
Zeeland,vA BEWAREN,6786.219999999999
Zeeland,vC FYSISCH VERWERKEN,109.89
Zeeland,vD CHEMISCH VERWERKEN,2912.46
Zeeland,vG STORTEN,0.06
Zuid-Holland,vA BEWAREN,120636.85599999997
Zuid-Holland,vB INZETTEN,49853.663
Zuid-Holland,vC FYSISCH VERWERKEN,262148.24000000005
Zuid-Holland,vD CHEMISCH VERWERKEN,81743.854
Zuid-Holland,vF VERBRANDEN,577.6
Zuid-Holland,vG STORTEN,40871.30399999999
