orig_country,VerwerkingsMethode,amount
Aruba,vC FYSISCH VERWERKEN,846.644
Austria,vD CHEMISCH VERWERKEN,0.078
Belgium,vA BEWAREN,13206.883000000002
Belgium,vB INZETTEN,7976.13
Belgium,vC FYSISCH VERWERKEN,18242.808
Belgium,vD CHEMISCH VERWERKEN,6207.671000000001
Denmark,vD CHEMISCH VERWERKEN,1785.891
Drenthe,vA BEWAREN,221767.0470000001
Drenthe,vB INZETTEN,47.440000000000005
Drenthe,vC FYSISCH VERWERKEN,67832.145
Drenthe,vD CHEMISCH VERWERKEN,199.70000000000002
Drenthe,vG STORTEN,1864.66
Flevoland,vA BEWAREN,51008.229999999996
Flevoland,vB INZETTEN,960.8400000000001
Flevoland,vC FYSISCH VERWERKEN,368108.96400000004
Flevoland,vD CHEMISCH VERWERKEN,82.14000000000001
Flevoland,vF VERBRANDEN,97.62
Flevoland,vG STORTEN,9241.97
France,vA BEWAREN,71.76
France,vC FYSISCH VERWERKEN,687.7
France,vD CHEMISCH VERWERKEN,0.504
Friesland,vA BEWAREN,105081.19
Friesland,vB INZETTEN,12321.319
Friesland,vC FYSISCH VERWERKEN,211882.74000000002
Friesland,vD CHEMISCH VERWERKEN,1680.5200000000002
Friesland,vG STORTEN,2192.1599999999994
Gelderland,vA BEWAREN,153115.89700000006
Gelderland,vB INZETTEN,263379.12299999996
Gelderland,vC FYSISCH VERWERKEN,1071871.0200000016
Gelderland,vD CHEMISCH VERWERKEN,11104.32
Gelderland,vF VERBRANDEN,202.36
Gelderland,vG STORTEN,21688.04700000001
Germany,vA BEWAREN,127562.56500000002
Germany,vB INZETTEN,116.1
Germany,vC FYSISCH VERWERKEN,55811.473000000005
Germany,vD CHEMISCH VERWERKEN,66629.79099999998
Groningen,vA BEWAREN,31235.281999999996
Groningen,vB INZETTEN,31450.934999999998
Groningen,vC FYSISCH VERWERKEN,352291.268
Groningen,vG STORTEN,1406.6800000000003
Hungary,vD CHEMISCH VERWERKEN,641.9100000000001
Israel,vD CHEMISCH VERWERKEN,2.037
Italy,vD CHEMISCH VERWERKEN,22.877
Limburg,vA BEWAREN,9477.902999999997
Limburg,vB INZETTEN,309472.978
Limburg,vC FYSISCH VERWERKEN,68713.08900000004
Limburg,vD CHEMISCH VERWERKEN,22179.515
Limburg,vG STORTEN,1704.8400000000001
Luxembourg,vC FYSISCH VERWERKEN,154.96
Morocco,vA BEWAREN,23.62
Noord-Brabant,vA BEWAREN,255160.03000000012
Noord-Brabant,vB INZETTEN,519346.878
Noord-Brabant,vC FYSISCH VERWERKEN,80146.44400000006
Noord-Brabant,vD CHEMISCH VERWERKEN,33403.101
Noord-Brabant,vG STORTEN,887.5000000000005
Noord-Holland,vA BEWAREN,408027.3190000002
Noord-Holland,vB INZETTEN,53104.75799999999
Noord-Holland,vC FYSISCH VERWERKEN,610141.4270000003
Noord-Holland,vD CHEMISCH VERWERKEN,56081.6
Noord-Holland,vE BIOLOGISCH VERWERKEN,2049.46
Noord-Holland,vF VERBRANDEN,309.94
Noord-Holland,vG STORTEN,42428.32999999999
Overijssel,vA BEWAREN,86436.15099999994
Overijssel,vB INZETTEN,1179.5620000000001
Overijssel,vC FYSISCH VERWERKEN,446264.2859999999
Overijssel,vD CHEMISCH VERWERKEN,464.21999999999997
Overijssel,vG STORTEN,20416.719999999976
Poland,vD CHEMISCH VERWERKEN,22.76
Spain,vC FYSISCH VERWERKEN,3491.153
Spain,vD CHEMISCH VERWERKEN,8.495000000000001
Sweden,vA BEWAREN,3335.242
Sweden,vC FYSISCH VERWERKEN,269189.342
Switzerland,vD CHEMISCH VERWERKEN,7.542
United Arab Emirates,vC FYSISCH VERWERKEN,36.96
United Kingdom,vA BEWAREN,12862.062
United Kingdom,vD CHEMISCH VERWERKEN,1.117
United States,vA BEWAREN,10.18
Utrecht,vA BEWAREN,289813.4799999999
Utrecht,vB INZETTEN,141673.56300000005
Utrecht,vC FYSISCH VERWERKEN,752463.9229999996
Utrecht,vD CHEMISCH VERWERKEN,4143.150000000001
Utrecht,vE BIOLOGISCH VERWERKEN,3944.78
Utrecht,vF VERBRANDEN,1077.1000000000001
Utrecht,vG STORTEN,23905.207000000035
Zeeland,vA BEWAREN,14269.679999999998
Zeeland,vC FYSISCH VERWERKEN,38040.55199999999
Zeeland,vD CHEMISCH VERWERKEN,13731.02
Zeeland,vG STORTEN,5.3
Zuid-Holland,vA BEWAREN,540020.7250000002
Zuid-Holland,vB INZETTEN,396631.45999999996
Zuid-Holland,vC FYSISCH VERWERKEN,1144063.512999998
Zuid-Holland,vD CHEMISCH VERWERKEN,218283.02400000003
Zuid-Holland,vE BIOLOGISCH VERWERKEN,1065.66
Zuid-Holland,vF VERBRANDEN,607.1
Zuid-Holland,vG STORTEN,93905.27600000009
