dest_country,VerwerkingsMethode,amount
Drenthe,vA BEWAREN,152.17499999999998
Drenthe,vC FYSISCH VERWERKEN,36.4
Drenthe,vE BIOLOGISCH VERWERKEN,187.1
Drenthe,vF VERBRANDEN,12321.12
Flevoland,vA BEWAREN,3242.2549999999997
Flevoland,vC FYSISCH VERWERKEN,10606.24
Flevoland,vD CHEMISCH VERWERKEN,94.61500000000001
Flevoland,vE BIOLOGISCH VERWERKEN,254.64
Friesland,vA BEWAREN,1233.586999999998
Friesland,vC FYSISCH VERWERKEN,8281.858
Friesland,vE BIOLOGISCH VERWERKEN,7598.200000000001
Friesland,vF VERBRANDEN,8935.66
Gelderland,vA BEWAREN,1392.1550000000002
Gelderland,vC FYSISCH VERWERKEN,32761.109
Gelderland,vE BIOLOGISCH VERWERKEN,3062.8900000000003
Gelderland,vF VERBRANDEN,341.29999999999995
Groningen,vA BEWAREN,1217.7720000000002
Groningen,vC FYSISCH VERWERKEN,4776.9400000000005
Groningen,vF VERBRANDEN,49.3
Limburg,vA BEWAREN,249.53000000000003
Limburg,vB INZETTEN,39.48
Limburg,vC FYSISCH VERWERKEN,27.21
Limburg,vE BIOLOGISCH VERWERKEN,83.47999999999999
Noord-Brabant,vA BEWAREN,1155.94
Noord-Brabant,vC FYSISCH VERWERKEN,6548.713000000001
Noord-Brabant,vD CHEMISCH VERWERKEN,0.421
Noord-Brabant,vE BIOLOGISCH VERWERKEN,6290.360000000001
Noord-Brabant,vF VERBRANDEN,7423.24
Noord-Holland,vA BEWAREN,29819.900999999998
Noord-Holland,vC FYSISCH VERWERKEN,87640.07099999998
Noord-Holland,vE BIOLOGISCH VERWERKEN,20169.548000000013
Noord-Holland,vF VERBRANDEN,116421.75999999998
Overijssel,vA BEWAREN,1196.7990000000002
Overijssel,vC FYSISCH VERWERKEN,6938.142
Overijssel,vE BIOLOGISCH VERWERKEN,2575.3
Overijssel,vF VERBRANDEN,143.32
Utrecht,vA BEWAREN,19907.114
Utrecht,vB INZETTEN,13.68
Utrecht,vC FYSISCH VERWERKEN,17285.435
Utrecht,vD CHEMISCH VERWERKEN,10.924
Utrecht,vE BIOLOGISCH VERWERKEN,9494.06200000001
Utrecht,vG STORTEN,14.84
Zeeland,vA BEWAREN,1.16
Zeeland,vC FYSISCH VERWERKEN,0.74
Zuid-Holland,vA BEWAREN,25700.838999999993
Zuid-Holland,vB INZETTEN,10.523
Zuid-Holland,vC FYSISCH VERWERKEN,20344.389999999996
Zuid-Holland,vE BIOLOGISCH VERWERKEN,20401.69099999999
Zuid-Holland,vF VERBRANDEN,3719.1800000000003
