dest_country,VerwerkingsMethode,amount
Drenthe,vA BEWAREN,1901.9420000000005
Drenthe,vC FYSISCH VERWERKEN,36.4
Drenthe,vE BIOLOGISCH VERWERKEN,713.44
Drenthe,vF VERBRANDEN,240516.50999999998
Flevoland,vA BEWAREN,16016.022000000008
Flevoland,vB INZETTEN,5.34
Flevoland,vC FYSISCH VERWERKEN,42655.891999999985
Flevoland,vD CHEMISCH VERWERKEN,652.895
Flevoland,vE BIOLOGISCH VERWERKEN,14712.699999999999
Friesland,vA BEWAREN,45503.091999999975
Friesland,vC FYSISCH VERWERKEN,39178.450999999994
Friesland,vE BIOLOGISCH VERWERKEN,43019.899999999994
Friesland,vF VERBRANDEN,26870.62
Gelderland,vA BEWAREN,24196.992000000002
Gelderland,vB INZETTEN,110.14
Gelderland,vC FYSISCH VERWERKEN,173937.18200000006
Gelderland,vE BIOLOGISCH VERWERKEN,14585.079999999993
Gelderland,vF VERBRANDEN,3691.12
Gelderland,vG STORTEN,260.34
Groningen,vA BEWAREN,4018.986999999998
Groningen,vC FYSISCH VERWERKEN,5998.88
Groningen,vE BIOLOGISCH VERWERKEN,27639.698
Groningen,vF VERBRANDEN,6669.92
Limburg,vA BEWAREN,847.6500000000001
Limburg,vB INZETTEN,161.96
Limburg,vC FYSISCH VERWERKEN,119.79700000000001
Limburg,vE BIOLOGISCH VERWERKEN,325.97999999999996
Noord-Brabant,vA BEWAREN,15758.757000000005
Noord-Brabant,vB INZETTEN,3.34
Noord-Brabant,vC FYSISCH VERWERKEN,65286.13400000005
Noord-Brabant,vD CHEMISCH VERWERKEN,2.931
Noord-Brabant,vE BIOLOGISCH VERWERKEN,42827.759999999995
Noord-Brabant,vF VERBRANDEN,29633.44
Noord-Holland,vA BEWAREN,208320.81800000023
Noord-Holland,vC FYSISCH VERWERKEN,286293.7660000002
Noord-Holland,vE BIOLOGISCH VERWERKEN,124310.19600000003
Noord-Holland,vF VERBRANDEN,816573.19
Overijssel,vA BEWAREN,11843.361999999997
Overijssel,vB INZETTEN,3538.714
Overijssel,vC FYSISCH VERWERKEN,25841.822
Overijssel,vE BIOLOGISCH VERWERKEN,13016.460000000001
Overijssel,vF VERBRANDEN,1232.8999999999999
Utrecht,vA BEWAREN,122189.01400000023
Utrecht,vB INZETTEN,7121.911000000001
Utrecht,vC FYSISCH VERWERKEN,100708.43200000003
Utrecht,vD CHEMISCH VERWERKEN,22.138
Utrecht,vE BIOLOGISCH VERWERKEN,95660.73199999999
Utrecht,vF VERBRANDEN,1057.12
Utrecht,vG STORTEN,107.25
Zeeland,vA BEWAREN,5.303
Zeeland,vC FYSISCH VERWERKEN,0.74
Zeeland,vE BIOLOGISCH VERWERKEN,536.04
Zuid-Holland,vA BEWAREN,115333.59099999999
Zuid-Holland,vB INZETTEN,34.17
Zuid-Holland,vC FYSISCH VERWERKEN,102057.20800000006
Zuid-Holland,vE BIOLOGISCH VERWERKEN,72207.17199999993
Zuid-Holland,vF VERBRANDEN,37389.27999999999
