orig_country,VerwerkingsMethode,amount
Belgium,vA BEWAREN,3293.7969999999996
Belgium,vC FYSISCH VERWERKEN,849.6600000000001
Belgium,vD CHEMISCH VERWERKEN,14254.119
Canada,vA BEWAREN,10.321000000000002
Drenthe,vA BEWAREN,28587.168
Drenthe,vB INZETTEN,3884.56
Drenthe,vC FYSISCH VERWERKEN,13600.67
Drenthe,vE BIOLOGISCH VERWERKEN,468.7
Flevoland,vA BEWAREN,11212.398999999998
Flevoland,vC FYSISCH VERWERKEN,6353.671
Flevoland,vE BIOLOGISCH VERWERKEN,7280.86
France,vA BEWAREN,376.57
Friesland,vA BEWAREN,7107.495000000001
Friesland,vB INZETTEN,5461.54
Friesland,vC FYSISCH VERWERKEN,30958.207000000002
Friesland,vD CHEMISCH VERWERKEN,3556.12
Friesland,vE BIOLOGISCH VERWERKEN,2826.1800000000003
Gelderland,vA BEWAREN,22840.313000000002
Gelderland,vB INZETTEN,61992.272000000004
Gelderland,vC FYSISCH VERWERKEN,36384.84900000001
Gelderland,vE BIOLOGISCH VERWERKEN,36594.62000000002
Gelderland,vF VERBRANDEN,24.14
Germany,vA BEWAREN,36943.37899999999
Germany,vB INZETTEN,17618.311999999998
Germany,vC FYSISCH VERWERKEN,5629.336
Germany,vD CHEMISCH VERWERKEN,5939.09
Groningen,vA BEWAREN,9545.311
Groningen,vB INZETTEN,921.4399999999999
Groningen,vC FYSISCH VERWERKEN,4300.382
Ireland,vA BEWAREN,6415.648999999999
Limburg,vA BEWAREN,2882.017
Limburg,vB INZETTEN,19871.32
Limburg,vC FYSISCH VERWERKEN,762.747
Limburg,vD CHEMISCH VERWERKEN,68.84
Luxembourg,vA BEWAREN,20.92
Noord-Brabant,vA BEWAREN,42851.13700000001
Noord-Brabant,vB INZETTEN,81064.649
Noord-Brabant,vC FYSISCH VERWERKEN,4073.286
Noord-Brabant,vD CHEMISCH VERWERKEN,30.94
Noord-Brabant,vE BIOLOGISCH VERWERKEN,12718.640000000001
Noord-Holland,vA BEWAREN,40140.27000000002
Noord-Holland,vB INZETTEN,4610.460000000001
Noord-Holland,vC FYSISCH VERWERKEN,22144.696000000004
Noord-Holland,vE BIOLOGISCH VERWERKEN,25061.439999999995
Noord-Holland,vG STORTEN,137.44
Overijssel,vA BEWAREN,42971.21299999999
Overijssel,vB INZETTEN,14094.6
Overijssel,vC FYSISCH VERWERKEN,6998.769
Overijssel,vE BIOLOGISCH VERWERKEN,22174.96
Overijssel,vG STORTEN,8636.759999999998
Slovenia,vA BEWAREN,137.45
Spain,vA BEWAREN,226.885
Sweden,vA BEWAREN,177.04
United Kingdom,vA BEWAREN,4797.446
United Kingdom,vC FYSISCH VERWERKEN,1.77
Utrecht,vA BEWAREN,17617.166999999998
Utrecht,vB INZETTEN,59790.909999999996
Utrecht,vC FYSISCH VERWERKEN,51920.49499999998
Utrecht,vD CHEMISCH VERWERKEN,102.96000000000001
Utrecht,vE BIOLOGISCH VERWERKEN,4724.249
Utrecht,vF VERBRANDEN,5.4
Utrecht,vG STORTEN,333.58
Zeeland,vA BEWAREN,1502.908
Zeeland,vB INZETTEN,8273.68
Zeeland,vC FYSISCH VERWERKEN,1473.404
Zuid-Holland,vA BEWAREN,69367.197
Zuid-Holland,vB INZETTEN,174716.677
Zuid-Holland,vC FYSISCH VERWERKEN,75103.11400000003
Zuid-Holland,vD CHEMISCH VERWERKEN,11.2
Zuid-Holland,vE BIOLOGISCH VERWERKEN,60570.98
Zuid-Holland,vF VERBRANDEN,309.86
Zuid-Holland,vG STORTEN,1498.94
