orig_country,VerwerkingsMethode,amount
Austria,vA BEWAREN,22.685
Belgium,vA BEWAREN,9324.574999999999
Belgium,vB INZETTEN,374.756
Belgium,vC FYSISCH VERWERKEN,12489.636
Belgium,vD CHEMISCH VERWERKEN,75969.27799999999
Bulgaria,vC FYSISCH VERWERKEN,12.58
Canada,vA BEWAREN,130.281
Canada,vC FYSISCH VERWERKEN,228.453
Denmark,vD CHEMISCH VERWERKEN,24.34
Drenthe,vA BEWAREN,73201.39400000004
Drenthe,vB INZETTEN,31799.3
Drenthe,vC FYSISCH VERWERKEN,68737.91599999997
Drenthe,vE BIOLOGISCH VERWERKEN,1855.3799999999999
Flevoland,vA BEWAREN,61321.277
Flevoland,vC FYSISCH VERWERKEN,51150.84799999999
Flevoland,vD CHEMISCH VERWERKEN,34.991
Flevoland,vE BIOLOGISCH VERWERKEN,35135.19000000001
France,vA BEWAREN,6546.015999999999
France,vC FYSISCH VERWERKEN,5.683
Friesland,vA BEWAREN,28094.048000000003
Friesland,vB INZETTEN,30786.94
Friesland,vC FYSISCH VERWERKEN,41622.03700000002
Friesland,vD CHEMISCH VERWERKEN,9138.050000000001
Friesland,vE BIOLOGISCH VERWERKEN,29722.44000000001
Friesland,vF VERBRANDEN,7.42
Gelderland,vA BEWAREN,91147.2250000001
Gelderland,vB INZETTEN,163815.93000000002
Gelderland,vC FYSISCH VERWERKEN,142275.1449999999
Gelderland,vD CHEMISCH VERWERKEN,2.3
Gelderland,vE BIOLOGISCH VERWERKEN,174652.4540000001
Gelderland,vF VERBRANDEN,6609.6900000000005
Gelderland,vG STORTEN,138.18
Germany,vA BEWAREN,56762.69599999999
Germany,vB INZETTEN,33161.875
Germany,vC FYSISCH VERWERKEN,48695.85
Germany,vD CHEMISCH VERWERKEN,22110.789999999997
Groningen,vA BEWAREN,31626.852000000006
Groningen,vB INZETTEN,3604.197
Groningen,vC FYSISCH VERWERKEN,14462.891999999998
Ireland,vA BEWAREN,26209.621000000003
Ireland,vC FYSISCH VERWERKEN,19.09
Limburg,vA BEWAREN,13752.056000000004
Limburg,vB INZETTEN,81334.06000000001
Limburg,vC FYSISCH VERWERKEN,4993.013000000002
Limburg,vD CHEMISCH VERWERKEN,334.58
Limburg,vE BIOLOGISCH VERWERKEN,27.36
Luxembourg,vA BEWAREN,327.74
Noord-Brabant,vA BEWAREN,72627.07000000002
Noord-Brabant,vB INZETTEN,441958.8080000001
Noord-Brabant,vC FYSISCH VERWERKEN,21071.826999999994
Noord-Brabant,vD CHEMISCH VERWERKEN,17294.81
Noord-Brabant,vE BIOLOGISCH VERWERKEN,58678.51999999998
Noord-Holland,vA BEWAREN,281588.604
Noord-Holland,vB INZETTEN,88315.895
Noord-Holland,vC FYSISCH VERWERKEN,73760.78700000003
Noord-Holland,vD CHEMISCH VERWERKEN,2.22
Noord-Holland,vE BIOLOGISCH VERWERKEN,157536.66899999994
Noord-Holland,vG STORTEN,494.65999999999997
Overijssel,vA BEWAREN,87408.888
Overijssel,vB INZETTEN,41195.34000000001
Overijssel,vC FYSISCH VERWERKEN,45104.871
Overijssel,vE BIOLOGISCH VERWERKEN,92095.15999999997
Overijssel,vG STORTEN,20417.98
Poland,vA BEWAREN,52.52
Romania,vA BEWAREN,1.2
Romania,vC FYSISCH VERWERKEN,1.12
Slovenia,vA BEWAREN,160.20999999999998
Spain,vA BEWAREN,226.885
Sweden,vA BEWAREN,542.1
Sweden,vC FYSISCH VERWERKEN,71.719
Switzerland,vA BEWAREN,48.2
United Kingdom,vA BEWAREN,17313.290000000005
United Kingdom,vC FYSISCH VERWERKEN,18.49
Utrecht,vA BEWAREN,108636.19599999992
Utrecht,vB INZETTEN,129516.95799999996
Utrecht,vC FYSISCH VERWERKEN,342922.7799999997
Utrecht,vD CHEMISCH VERWERKEN,593.199
Utrecht,vE BIOLOGISCH VERWERKEN,25239.299000000003
Utrecht,vF VERBRANDEN,11.54
Utrecht,vG STORTEN,1745.8
Zeeland,vA BEWAREN,2240.352
Zeeland,vB INZETTEN,71790.01
Zeeland,vC FYSISCH VERWERKEN,2199.354
Zeeland,vE BIOLOGISCH VERWERKEN,0.0
Zuid-Holland,vA BEWAREN,392626.3149999998
Zuid-Holland,vB INZETTEN,660971.862
Zuid-Holland,vC FYSISCH VERWERKEN,409075.8040000002
Zuid-Holland,vD CHEMISCH VERWERKEN,191.698
Zuid-Holland,vE BIOLOGISCH VERWERKEN,327646.1089999999
Zuid-Holland,vF VERBRANDEN,1375.26
Zuid-Holland,vG STORTEN,1498.94
