dest_country,VerwerkingsMethode,amount
Drenthe,vA BEWAREN,12.48
Drenthe,vE BIOLOGISCH VERWERKEN,9561.019999999999
Drenthe,vF VERBRANDEN,0.52
Flevoland,vA BEWAREN,35501.873999999996
Flevoland,vD CHEMISCH VERWERKEN,14574.896
Flevoland,vE BIOLOGISCH VERWERKEN,4022.88
Friesland,vA BEWAREN,3267.524
Friesland,vB INZETTEN,252.27100000000002
Friesland,vC FYSISCH VERWERKEN,13027.163999999997
Friesland,vE BIOLOGISCH VERWERKEN,26.82
Gelderland,vA BEWAREN,28153.92
Gelderland,vB INZETTEN,5920.973
Gelderland,vC FYSISCH VERWERKEN,1781.3150000000003
Gelderland,vD CHEMISCH VERWERKEN,7.669999999999999
Gelderland,vE BIOLOGISCH VERWERKEN,20881.840000000004
Gelderland,vF VERBRANDEN,45.1
Groningen,vA BEWAREN,25.82000000000001
Groningen,vB INZETTEN,19030.364999999998
Groningen,vE BIOLOGISCH VERWERKEN,23317.06
Limburg,vA BEWAREN,33.56
Limburg,vD CHEMISCH VERWERKEN,7.12
Limburg,vE BIOLOGISCH VERWERKEN,4578.9400000000005
Noord-Brabant,vA BEWAREN,29706.429
Noord-Brabant,vB INZETTEN,12578.916999999998
Noord-Brabant,vC FYSISCH VERWERKEN,21865.075
Noord-Brabant,vD CHEMISCH VERWERKEN,5964.94
Noord-Brabant,vE BIOLOGISCH VERWERKEN,16900.799999999996
Noord-Brabant,vF VERBRANDEN,7388.56
Noord-Holland,vA BEWAREN,14751.288000000004
Noord-Holland,vB INZETTEN,32561.235999999994
Noord-Holland,vC FYSISCH VERWERKEN,111.44200000000001
Noord-Holland,vD CHEMISCH VERWERKEN,31957.688000000006
Noord-Holland,vE BIOLOGISCH VERWERKEN,18095.428
Noord-Holland,vF VERBRANDEN,192.42000000000002
Overijssel,vA BEWAREN,1035.512
Overijssel,vB INZETTEN,45090.74099999999
Overijssel,vC FYSISCH VERWERKEN,1323.445
Overijssel,vE BIOLOGISCH VERWERKEN,15103.160000000002
Utrecht,vA BEWAREN,1127.099
Utrecht,vB INZETTEN,149.34
Utrecht,vC FYSISCH VERWERKEN,3447.0089999999996
Utrecht,vE BIOLOGISCH VERWERKEN,36568.509999999995
Utrecht,vG STORTEN,102.64
Zeeland,vE BIOLOGISCH VERWERKEN,2.08
Zuid-Holland,vA BEWAREN,13987.451999999997
Zuid-Holland,vB INZETTEN,3.788
Zuid-Holland,vC FYSISCH VERWERKEN,6894.210000000001
Zuid-Holland,vE BIOLOGISCH VERWERKEN,10356.779999999995
Zuid-Holland,vF VERBRANDEN,5.92
Zuid-Holland,vG STORTEN,0.88
