orig_country,VerwerkingsMethode,amount
Drenthe,vC FYSISCH VERWERKEN,223.38
Drenthe,vG STORTEN,7063.94
Flevoland,vC FYSISCH VERWERKEN,5.49
Flevoland,vD CHEMISCH VERWERKEN,58.81
Flevoland,vE BIOLOGISCH VERWERKEN,16949.52
Friesland,vB INZETTEN,8.861
Friesland,vC FYSISCH VERWERKEN,1426.846
Friesland,vD CHEMISCH VERWERKEN,59.34
Friesland,vE BIOLOGISCH VERWERKEN,5738.92
Gelderland,vA BEWAREN,3.88
Gelderland,vC FYSISCH VERWERKEN,1840.6000000000001
Gelderland,vD CHEMISCH VERWERKEN,2608.3310000000006
Gelderland,vE BIOLOGISCH VERWERKEN,910.9
Gelderland,vG STORTEN,206.48
Groningen,vD CHEMISCH VERWERKEN,125.44
Groningen,vE BIOLOGISCH VERWERKEN,9958.98
Groningen,vG STORTEN,4319.84
Limburg,vA BEWAREN,590.892
Limburg,vC FYSISCH VERWERKEN,3510.2410000000004
Limburg,vD CHEMISCH VERWERKEN,30.58
Limburg,vE BIOLOGISCH VERWERKEN,2634.6600000000003
Noord-Brabant,vA BEWAREN,1.177
Noord-Brabant,vC FYSISCH VERWERKEN,1497.839
Noord-Brabant,vD CHEMISCH VERWERKEN,1818.18
Noord-Brabant,vE BIOLOGISCH VERWERKEN,8548.800000000001
Noord-Holland,vA BEWAREN,1113.996
Noord-Holland,vC FYSISCH VERWERKEN,477.54900000000004
Noord-Holland,vE BIOLOGISCH VERWERKEN,415.96999999999997
Noord-Holland,vF VERBRANDEN,2.92
Overijssel,vC FYSISCH VERWERKEN,13.259
Overijssel,vD CHEMISCH VERWERKEN,1560.68
Overijssel,vE BIOLOGISCH VERWERKEN,8285.6
Overijssel,vG STORTEN,19054.24
Utrecht,vA BEWAREN,10.1
Utrecht,vC FYSISCH VERWERKEN,1557.51
Utrecht,vD CHEMISCH VERWERKEN,789.1079999999998
Utrecht,vE BIOLOGISCH VERWERKEN,574.7
Zeeland,vC FYSISCH VERWERKEN,107.167
Zeeland,vD CHEMISCH VERWERKEN,275.72
Zeeland,vE BIOLOGISCH VERWERKEN,2296.6000000000004
Zuid-Holland,vA BEWAREN,2558.915
Zuid-Holland,vC FYSISCH VERWERKEN,5301.856
Zuid-Holland,vD CHEMISCH VERWERKEN,864.2099999999999
Zuid-Holland,vE BIOLOGISCH VERWERKEN,10402.14
Zuid-Holland,vG STORTEN,441.24
