orig_country,VerwerkingsMethode,amount
Drenthe,vC FYSISCH VERWERKEN,771.107
Drenthe,vD CHEMISCH VERWERKEN,9162.5
Drenthe,vE BIOLOGISCH VERWERKEN,158.38
Drenthe,vG STORTEN,7063.94
Flevoland,vC FYSISCH VERWERKEN,639.856
Flevoland,vD CHEMISCH VERWERKEN,556.93
Flevoland,vE BIOLOGISCH VERWERKEN,79558.59999999999
Friesland,vA BEWAREN,18.37
Friesland,vB INZETTEN,8.861
Friesland,vC FYSISCH VERWERKEN,3920.8439999999996
Friesland,vD CHEMISCH VERWERKEN,173.39
Friesland,vE BIOLOGISCH VERWERKEN,8331.5
Gelderland,vA BEWAREN,64.046
Gelderland,vC FYSISCH VERWERKEN,5834.639999999999
Gelderland,vD CHEMISCH VERWERKEN,6629.206999999999
Gelderland,vE BIOLOGISCH VERWERKEN,12192.72
Gelderland,vF VERBRANDEN,8.78
Gelderland,vG STORTEN,206.48
Germany,vE BIOLOGISCH VERWERKEN,7.24
Groningen,vA BEWAREN,0.083
Groningen,vB INZETTEN,22.392
Groningen,vC FYSISCH VERWERKEN,128.286
Groningen,vD CHEMISCH VERWERKEN,437.96000000000004
Groningen,vE BIOLOGISCH VERWERKEN,40304.19
Groningen,vG STORTEN,4319.84
Limburg,vA BEWAREN,1192.9740000000002
Limburg,vC FYSISCH VERWERKEN,8930.912
Limburg,vD CHEMISCH VERWERKEN,61.86000000000001
Limburg,vE BIOLOGISCH VERWERKEN,2757.44
Limburg,vF VERBRANDEN,10.700000000000001
Noord-Brabant,vA BEWAREN,829.86
Noord-Brabant,vC FYSISCH VERWERKEN,6499.394211999999
Noord-Brabant,vD CHEMISCH VERWERKEN,6016.51
Noord-Brabant,vE BIOLOGISCH VERWERKEN,30423.781
Noord-Holland,vA BEWAREN,2611.522
Noord-Holland,vC FYSISCH VERWERKEN,1899.382
Noord-Holland,vD CHEMISCH VERWERKEN,70.51
Noord-Holland,vE BIOLOGISCH VERWERKEN,4968.842000000001
Noord-Holland,vF VERBRANDEN,2.92
Overijssel,vA BEWAREN,0.027
Overijssel,vC FYSISCH VERWERKEN,1577.804
Overijssel,vD CHEMISCH VERWERKEN,4491.19
Overijssel,vE BIOLOGISCH VERWERKEN,33492.75
Overijssel,vG STORTEN,26090.72
Utrecht,vA BEWAREN,659.928
Utrecht,vC FYSISCH VERWERKEN,6693.245000000003
Utrecht,vD CHEMISCH VERWERKEN,4371.225000000003
Utrecht,vE BIOLOGISCH VERWERKEN,2560.330000000001
Zeeland,vA BEWAREN,178.9
Zeeland,vB INZETTEN,24.04
Zeeland,vC FYSISCH VERWERKEN,544.413
Zeeland,vD CHEMISCH VERWERKEN,572.46
Zeeland,vE BIOLOGISCH VERWERKEN,2610.1200000000003
Zuid-Holland,vA BEWAREN,22914.632999999987
Zuid-Holland,vB INZETTEN,2.16
Zuid-Holland,vC FYSISCH VERWERKEN,20465.948800000006
Zuid-Holland,vD CHEMISCH VERWERKEN,10644.94
Zuid-Holland,vE BIOLOGISCH VERWERKEN,85596.64000000003
Zuid-Holland,vF VERBRANDEN,4.64
Zuid-Holland,vG STORTEN,9312.64
