activity_group_name	VerwerkingsMethode	amount
BUITEN MRA	A02 Overslag / opbulken	9,72
F BOUWNIJVERHEID 	A02 Overslag / opbulken	13,26
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C02 Shredderen / knippen	8,38
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	B05 Overig inzetten als grondstof	133,46
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	B05 Overig inzetten als grondstof	314,3
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	B05 Overig inzetten als grondstof	425,28
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	B05 Overig inzetten als grondstof	285,86
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	B05 Overig inzetten als grondstof	126,88
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	C02 Shredderen / knippen	29,78
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	A02 Overslag / opbulken	5,14
C INDUSTRIE	B05 Overig inzetten als grondstof	7,62
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	B05 Overig inzetten als grondstof	2,26
F BOUWNIJVERHEID 	B05 Overig inzetten als grondstof	0,7
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	E03 Composteren, aeroob	27,12
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	E03 Composteren, aeroob	40,92
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	E03 Composteren, aeroob	47,4
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	E03 Composteren, aeroob	25,4
F BOUWNIJVERHEID 	E03 Composteren, aeroob	32,78
F BOUWNIJVERHEID 	E03 Composteren, aeroob	108,3
F BOUWNIJVERHEID 	E03 Composteren, aeroob	155,98
F BOUWNIJVERHEID 	E03 Composteren, aeroob	262,5
F BOUWNIJVERHEID 	E03 Composteren, aeroob	289,02
F BOUWNIJVERHEID 	E03 Composteren, aeroob	426,48
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	E03 Composteren, aeroob	5,68
BUITEN MRA	A02 Overslag / opbulken	590.892
BUITEN MRA	A02 Overslag / opbulken	597,24
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	E03 Composteren, aeroob	10.236
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	E03 Composteren, aeroob	2.603
C INDUSTRIE	E03 Composteren, aeroob	14
C INDUSTRIE	E03 Composteren, aeroob	7.833
R KUNST, AMUSEMENT EN RECREATIE 	E03 Composteren, aeroob	18.562
Q MENSELIJKE GEZONDHEIDSZORG EN MAATSCHAPPELIJKE DIENSTVERLENING 	E03 Composteren, aeroob	2.506
Q MENSELIJKE GEZONDHEIDSZORG EN MAATSCHAPPELIJKE DIENSTVERLENING 	E03 Composteren, aeroob	1,2
Q MENSELIJKE GEZONDHEIDSZORG EN MAATSCHAPPELIJKE DIENSTVERLENING 	E03 Composteren, aeroob	1,2
Q MENSELIJKE GEZONDHEIDSZORG EN MAATSCHAPPELIJKE DIENSTVERLENING 	E03 Composteren, aeroob	3.551
S OVERIGE DIENSTEN 	E03 Composteren, aeroob	2
S OVERIGE DIENSTEN 	E03 Composteren, aeroob	23
S OVERIGE DIENSTEN 	E03 Composteren, aeroob	2,68
S OVERIGE DIENSTEN 	E03 Composteren, aeroob	10.327
S OVERIGE DIENSTEN 	E03 Composteren, aeroob	8.992
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	E03 Composteren, aeroob	11.746
"O OPENBAAR BESTUUR EN DEFENSIE; VERPLICHTE SOCIALE VERZEKERINGEN "	E03 Composteren, aeroob	4.522
"O OPENBAAR BESTUUR EN DEFENSIE; VERPLICHTE SOCIALE VERZEKERINGEN "	E03 Composteren, aeroob	11.397
"O OPENBAAR BESTUUR EN DEFENSIE; VERPLICHTE SOCIALE VERZEKERINGEN "	E03 Composteren, aeroob	1.563
M VRIJE BEROEPEN EN WETENSCHAPPELIJKE EN TECHNISCHE ACTIVITEITEN 	A02 Overslag / opbulken	0,58
BUITEN MRA	A02 Overslag / opbulken	6,28
BUITEN MRA	A02 Overslag / opbulken	0,86
BUITEN MRA	A02 Overslag / opbulken	4,52
BUITEN MRA	A02 Overslag / opbulken	16,08
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	386,5
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	A02 Overslag / opbulken	17,8
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	A02 Overslag / opbulken	12,81
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	A02 Overslag / opbulken	8,03
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	A02 Overslag / opbulken	3,08
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	A02 Overslag / opbulken	1,34
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	A02 Overslag / opbulken	1,34
A LANDBOUW, BOSBOUW EN VISSERIJ	C01 Breken	4,12
F BOUWNIJVERHEID 	A02 Overslag / opbulken	0,1
F BOUWNIJVERHEID 	A02 Overslag / opbulken	6,16
C INDUSTRIE	A02 Overslag / opbulken	0,82
C INDUSTRIE	A02 Overslag / opbulken	1,74
C INDUSTRIE	A02 Overslag / opbulken	6,42
C INDUSTRIE	A02 Overslag / opbulken	9,9
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C01 Breken	9,04
P ONDERWIJS 	C01 Breken	0,9
F BOUWNIJVERHEID 	C01 Breken	0,12
F BOUWNIJVERHEID 	C01 Breken	0,16
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	C01 Breken	0,16
M VRIJE BEROEPEN EN WETENSCHAPPELIJKE EN TECHNISCHE ACTIVITEITEN 	C01 Breken	0,14
M VRIJE BEROEPEN EN WETENSCHAPPELIJKE EN TECHNISCHE ACTIVITEITEN 	C01 Breken	0,32
F BOUWNIJVERHEID 	C01 Breken	0,06
BUITEN MRA	C01 Breken	0,4
